avg,std,min,max,dateRange,maxsize,size,avgTrades,avgExposure,sharpe,evaluationScoreOnSecondary,evaluationScore,id
-60.67224259370584,9.623184007872219,-70.73996043789255,-31.57148441077001,2018-06-15 19:34:31 to 2018-09-13 19:34:31,50,50,521.64,4.363124461770893,-200.06117492736124,,,0
-56.82475273028971,11.08327501728564,-67.65513358958854,-28.650743678655957,,50,52,502.5192307692308,4.734268618902954,-183.84145960952128,,,1
-58.184657419628465,8.785401014932635,-68.1007058341107,-39.368327814578585,,25,26,507.15384615384613,4.48653639264191,-187.51970868686342,,,2
-59.20559991309765,9.396668125090855,-71.70284462319849,-24.551068382339352,,150,60,523.0,4.477342203785771,-195.46979219290182,,,3
-58.85863747781509,9.91757257066646,-68.323734519248,-22.902147637318862,,25,30,515.8333333333334,4.841911099876185,-192.55747356883668,,,4
-55.92010994970533,12.546867133585643,-69.88000760333517,-23.120439778996598,,25,27,477.037037037037,5.299664612059171,-177.89309922209907,,,5
-57.57798041237775,12.998112258847044,-69.1048551648592,-17.49822252251603,,29,38,503.0263157894737,4.839409843618564,-184.56798948486477,,,6
-56.75591431041566,11.54091759446222,-69.31866246023233,-29.799089283239994,,25,29,499.3103448275862,4.865865250933043,-181.74686173458534,,,7
-55.83462061240034,12.757420203202106,-70.0508148952139,-18.518093881819752,,150,69,484.2463768115942,5.132169065060879,-176.44620646133245,,,8
-56.04623471212475,13.851769944639456,-68.01803452973118,-22.902147637318862,,25,35,490.51428571428573,5.919064297317584,-183.44475319687982,,,9
-60.675936763214196,9.779098307557655,-69.24942945314328,-24.07188162603198,,114,54,539.9629629629629,4.420832410477369,-201.10072197703926,,,10
-58.02402837625311,11.934819785012973,-69.18847169544728,-22.902147637318862,,150,61,496.6393442622951,5.227528096200697,-185.28188053260385,,,11
-55.74260733178629,12.362259970533314,-70.67717128067846,-22.902147637318862,,41,40,491.9,5.125084140348287,-180.15878888259297,,,12
-57.77481025332706,11.333679812887988,-68.23950040808388,-22.902147637318862,,41,44,506.8863636363636,5.0382653647901705,-186.05987866237493,,,13
-58.769797911777594,11.983235982063672,-70.48964414492296,-19.228286545291837,,41,46,512.6739130434783,4.826547898581657,-192.59123265008,,,14
-56.61248267147906,12.142663365534156,-68.97161567567814,-22.902147637318862,,25,35,499.6857142857143,5.090647690634251,-184.29913275982312,,,15
-58.20831224664191,11.84385017091564,-72.1340669526495,-22.902147637318862,,96,56,523.625,4.815580985984134,-193.65066679836053,,,16
-59.054841204827106,10.55210192244085,-70.62319173622527,-28.59483992794874,,96,58,540.1896551724138,4.4218775938782615,-197.6180992081135,,,17
-52.60302749844567,13.758664176537767,-68.99457459730962,-22.80974272856649,,150,72,457.27777777777777,5.607755305046704,-163.7385967248636,,,18
